,C,Kernel,p,q,Accuracy,False negative rate,False positive rate,sum
315,5.0,rbf,3,8,0.8404255319148937,0.10511363636363637,0.2578125,0.36292613636363635
285,2.0,poly,13,4,0.8652482269503546,0.11008522727272728,0.2528409090909091,0.3629261363636364
235,2.0,rbf,11,8,0.8794326241134752,0.078125,0.28551136363636365,0.36363636363636365
264,2.0,poly,3,2,0.7943262411347518,0.13920454545454544,0.22443181818181818,0.36363636363636365
188,1.0,poly,13,2,0.8936170212765957,0.10369318181818182,0.26136363636363635,0.3650568181818182
136,1.0,rbf,11,2,0.8581560283687943,0.08948863636363637,0.2762784090909091,0.36576704545454547
271,2.0,poly,5,8,0.8546099290780141,0.11505681818181818,0.25142045454545453,0.3664772727272727
137,1.0,rbf,11,4,0.8723404255319149,0.09943181818181818,0.26704545454545453,0.3664772727272727
316,5.0,rbf,5,2,0.8475177304964538,0.11576704545454546,0.2507102272727273,0.36647727272727276
132,1.0,rbf,9,2,0.8687943262411347,0.10582386363636363,0.2606534090909091,0.36647727272727276
227,2.0,rbf,7,8,0.851063829787234,0.09019886363636363,0.27769886363636365,0.3678977272727273
127,1.0,rbf,5,8,0.8368794326241135,0.09090909090909091,0.2784090909090909,0.36931818181818177
383,5.0,poly,13,8,0.8546099290780141,0.09161931818181818,0.27769886363636365,0.3693181818181818
327,5.0,rbf,9,8,0.8333333333333334,0.08522727272727272,0.28480113636363635,0.37002840909090906
128,1.0,rbf,7,2,0.8652482269503546,0.11292613636363637,0.2578125,0.37073863636363635
135,1.0,rbf,9,8,0.8333333333333334,0.09730113636363637,0.2741477272727273,0.37144886363636365
219,2.0,rbf,3,8,0.8191489361702128,0.09019886363636363,0.2819602272727273,0.37215909090909094
368,5.0,poly,7,2,0.8652482269503546,0.11789772727272728,0.25426136363636365,0.37215909090909094
363,5.0,poly,3,8,0.8475177304964538,0.10440340909090909,0.2684659090909091,0.37286931818181823
314,5.0,rbf,3,6,0.8085106382978723,0.09588068181818182,0.2784090909090909,0.3742897727272727
330,5.0,rbf,11,6,0.8546099290780141,0.078125,0.2961647727272727,0.3742897727272727
191,1.0,poly,13,8,0.851063829787234,0.13352272727272727,0.24076704545454544,0.3742897727272727
335,5.0,rbf,13,8,0.8546099290780141,0.09446022727272728,0.27982954545454547,0.37428977272727276
231,2.0,rbf,9,8,0.8404255319148937,0.10298295454545454,0.2727272727272727,0.37571022727272724
324,5.0,rbf,9,2,0.8687943262411347,0.08025568181818182,0.29545454545454547,0.3757102272727273
190,1.0,poly,13,6,0.8687943262411347,0.09801136363636363,0.2784090909090909,0.37642045454545453
312,5.0,rbf,3,2,0.8156028368794326,0.10724431818181818,0.26917613636363635,0.37642045454545453
