C_in,C_pos,kernel_in,kernel_pos,n,accuracy_in,accuracy_pos
1.0,0.1,linear,poly,12,0.7411347517730497,0.0759493670886076
1.0,0.1,linear,poly,17,0.6914893617021277,0.05426356589147287
1.0,0.1,rbf,linear,7,0.8581560283687943,0.425
1.0,0.1,rbf,linear,12,0.7056737588652482,0.4838709677419355
1.0,0.1,rbf,linear,17,0.7092198581560284,0.4642857142857143
1.0,0.1,rbf,rbf,7,0.8652482269503546,0.21052631578947367
1.0,0.1,rbf,rbf,12,0.7446808510638298,0.12345679012345678
1.0,0.1,rbf,rbf,17,0.6879432624113475,0.020134228187919462
1.0,0.1,rbf,sigmoid,7,0.8617021276595744,0.1794871794871795
1.0,0.1,rbf,sigmoid,12,0.7695035460992907,0.0625
1.0,0.1,rbf,sigmoid,17,0.7588652482269503,0.03636363636363636
1.0,0.1,rbf,poly,7,0.8226950354609929,0.1836734693877551
1.0,0.1,rbf,poly,12,0.7553191489361702,0.06493506493506493
1.0,0.1,rbf,poly,17,0.74822695035461,0.048
1.0,0.1,sigmoid,linear,7,0.8368794326241135,0.6739130434782609
1.0,0.1,sigmoid,linear,12,0.75177304964539,0.375
1.0,0.1,sigmoid,linear,17,0.74822695035461,0.45652173913043476
1.0,0.1,sigmoid,rbf,7,0.8546099290780141,0.14634146341463414
1.0,0.1,sigmoid,rbf,12,0.723404255319149,0.045454545454545456
1.0,0.1,sigmoid,rbf,17,0.6985815602836879,0.08088235294117647
1.0,0.1,sigmoid,sigmoid,7,0.851063829787234,0.16666666666666666
1.0,0.1,sigmoid,sigmoid,12,0.7269503546099291,0.10588235294117647
1.0,0.1,sigmoid,sigmoid,17,0.7375886524822695,0.06569343065693431
1.0,0.1,sigmoid,poly,7,0.8368794326241135,0.10869565217391304
1.0,0.1,sigmoid,poly,12,0.7659574468085106,0.02631578947368421
1.0,0.1,sigmoid,poly,17,0.6808510638297872,0.043795620437956206
1.0,0.1,poly,linear,7,0.8865248226950354,0.5151515151515151
1.0,0.1,poly,linear,12,0.7092198581560284,0.4431818181818182
1.0,0.1,poly,linear,17,0.7021276595744681,0.359375
1.0,0.1,poly,rbf,7,0.8049645390070922,0.10909090909090909
1.0,0.1,poly,rbf,12,0.7092198581560284,0.07058823529411765
1.0,0.1,poly,rbf,17,0.7446808510638298,0.07627118644067797
1.0,0.1,poly,sigmoid,7,0.8936170212765957,0.06896551724137931
1.0,0.1,poly,sigmoid,12,0.7624113475177305,0.136986301369863
1.0,0.1,poly,sigmoid,17,0.6099290780141844,0.06716417910447761
1.0,0.1,poly,poly,7,0.8546099290780141,0.11363636363636363
1.0,0.1,poly,poly,12,0.6985815602836879,0.10112359550561797
1.0,0.1,poly,poly,17,0.6773049645390071,0.051470588235294115
1.0,1.0,linear,linear,7,0.8829787234042553,0.3142857142857143
1.0,1.0,linear,linear,12,0.7269503546099291,0.36507936507936506
1.0,1.0,linear,linear,17,0.6843971631205674,0.37012987012987014
1.0,1.0,linear,rbf,7,0.8794326241134752,0.22857142857142856
1.0,1.0,linear,rbf,12,0.7127659574468085,0.4166666666666667
1.0,1.0,linear,rbf,17,0.6808510638297872,0.32
1.0,1.0,linear,sigmoid,7,0.8687943262411347,0.47368421052631576
1.0,1.0,linear,sigmoid,12,0.7624113475177305,0.3977272727272727
1.0,1.0,linear,sigmoid,17,0.6595744680851063,0.3969465648854962
1.0,1.0,linear,poly,7,0.8617021276595744,0.38235294117647056
1.0,1.0,linear,poly,12,0.7340425531914894,0.13793103448275862
1.0,1.0,linear,poly,17,0.624113475177305,0.2054794520547945
1.0,1.0,rbf,linear,7,0.8794326241134752,0.3888888888888889
1.0,1.0,rbf,linear,12,0.7198581560283688,0.367816091954023
1.0,1.0,rbf,linear,17,0.7695035460992907,0.390625
1.0,1.0,rbf,rbf,7,0.8156028368794326,0.46153846153846156
1.0,1.0,rbf,rbf,12,0.7801418439716312,0.3472222222222222
1.0,1.0,rbf,rbf,17,0.7375886524822695,0.28346456692913385
1.0,1.0,rbf,sigmoid,7,0.8581560283687943,0.425
1.0,1.0,rbf,sigmoid,12,0.7056737588652482,0.425531914893617
1.0,1.0,rbf,sigmoid,17,0.74822695035461,0.34532374100719426
1.0,1.0,rbf,poly,7,0.8900709219858156,0.41935483870967744
1.0,1.0,rbf,poly,12,0.7269503546099291,0.13953488372093023
1.0,1.0,rbf,poly,17,0.6843971631205674,0.2097902097902098
1.0,1.0,sigmoid,linear,7,0.851063829787234,0.42857142857142855
1.0,1.0,sigmoid,linear,12,0.7127659574468085,0.25510204081632654
1.0,1.0,sigmoid,linear,17,0.7021276595744681,0.4214876033057851
1.0,1.0,sigmoid,rbf,7,0.8404255319148937,0.4666666666666667
1.0,1.0,sigmoid,rbf,12,0.74822695035461,0.34146341463414637
1.0,1.0,sigmoid,rbf,17,0.7375886524822695,0.38686131386861317
1.0,1.0,sigmoid,sigmoid,7,0.8581560283687943,0.4
1.0,1.0,sigmoid,sigmoid,12,0.7056737588652482,0.43373493975903615
1.0,1.0,sigmoid,sigmoid,17,0.7092198581560284,0.3858267716535433
1.0,1.0,sigmoid,poly,7,0.8475177304964538,0.32558139534883723
1.0,1.0,sigmoid,poly,12,0.7340425531914894,0.22105263157894736
1.0,1.0,sigmoid,poly,17,0.6914893617021277,0.2727272727272727
1.0,1.0,poly,linear,7,0.8368794326241135,0.3829787234042553
1.0,1.0,poly,linear,12,0.7198581560283688,0.425
1.0,1.0,poly,linear,17,0.7127659574468085,0.3722627737226277
