,C,Kernel,p,q,Accuracy,False negative rate,False positive rate
132,1.0,rbf,9,2,0.8687943262411347,0.10582386363636363,0.2606534090909091
133,1.0,rbf,9,4,0.851063829787234,0.09943181818181818,0.2606534090909091
134,1.0,rbf,9,6,0.8546099290780141,0.10014204545454546,0.2528409090909091
135,1.0,rbf,9,8,0.8333333333333334,0.09730113636363637,0.2741477272727273
136,1.0,rbf,11,2,0.8581560283687943,0.08948863636363637,0.2762784090909091
137,1.0,rbf,11,4,0.8723404255319149,0.09943181818181818,0.26704545454545453
138,1.0,rbf,11,6,0.8971631205673759,0.09303977272727272,0.26136363636363635
139,1.0,rbf,11,8,0.8617021276595744,0.09730113636363637,0.2627840909090909
140,1.0,rbf,13,2,0.8723404255319149,0.0859375,0.3380681818181818
141,1.0,rbf,13,4,0.8794326241134752,0.0859375,0.3508522727272727
142,1.0,rbf,13,6,0.8723404255319149,0.10014204545454546,0.30326704545454547
143,1.0,rbf,13,8,0.8971631205673759,0.08451704545454546,0.31392045454545453
144,1.0,sigmoid,3,2,0.851063829787234,0.17613636363636365,0.2556818181818182
145,1.0,sigmoid,3,4,0.8439716312056738,0.13849431818181818,0.2940340909090909
146,1.0,sigmoid,3,6,0.8226950354609929,0.1534090909090909,0.27485795454545453
147,1.0,sigmoid,3,8,0.8014184397163121,0.17258522727272727,0.2585227272727273
148,1.0,sigmoid,5,2,0.8262411347517731,0.1953125,0.20525568181818182
149,1.0,sigmoid,5,4,0.8404255319148937,0.16193181818181818,0.27485795454545453
150,1.0,sigmoid,5,6,0.7978723404255319,0.1924715909090909,0.23082386363636365
151,1.0,sigmoid,5,8,0.8226950354609929,0.16335227272727273,0.2727272727272727
152,1.0,sigmoid,7,2,0.7943262411347518,0.16477272727272727,0.24076704545454544
153,1.0,sigmoid,7,4,0.8475177304964538,0.15553977272727273,0.2521306818181818
154,1.0,sigmoid,7,6,0.8262411347517731,0.15838068181818182,0.2705965909090909
155,1.0,sigmoid,7,8,0.8262411347517731,0.1484375,0.28267045454545453
156,1.0,sigmoid,9,2,0.8191489361702128,0.1690340909090909,0.2627840909090909
157,1.0,sigmoid,9,4,0.8581560283687943,0.14701704545454544,0.26207386363636365
158,1.0,sigmoid,9,6,0.8439716312056738,0.14914772727272727,0.29829545454545453
159,1.0,sigmoid,9,8,0.851063829787234,0.15980113636363635,0.27201704545454547
160,1.0,sigmoid,11,2,0.8687943262411347,0.13352272727272727,0.30894886363636365
161,1.0,sigmoid,11,4,0.8475177304964538,0.16477272727272727,0.2684659090909091
162,1.0,sigmoid,11,6,0.8191489361702128,0.12357954545454546,0.3075284090909091
163,1.0,sigmoid,11,8,0.8404255319148937,0.14417613636363635,0.28551136363636365
164,1.0,sigmoid,13,2,0.8794326241134752,0.12073863636363637,0.3572443181818182
165,1.0,sigmoid,13,4,0.8794326241134752,0.11505681818181818,0.34375
166,1.0,sigmoid,13,6,0.875886524822695,0.13849431818181818,0.2599431818181818
167,1.0,sigmoid,13,8,0.8687943262411347,0.11860795454545454,0.2883522727272727
168,1.0,poly,3,2,0.8368794326241135,0.11008522727272728,0.22230113636363635
169,1.0,poly,3,4,0.8368794326241135,0.13210227272727273,0.18963068181818182
170,1.0,poly,3,6,0.8085106382978723,0.14417613636363635,0.17045454545454544
171,1.0,poly,3,8,0.8226950354609929,0.12642045454545456,0.2237215909090909
172,1.0,poly,5,2,0.7801418439716312,0.13352272727272727,0.1846590909090909
173,1.0,poly,5,4,0.8120567375886525,0.125,0.18536931818181818
174,1.0,poly,5,6,0.8297872340425532,0.15056818181818182,0.17258522727272727
175,1.0,poly,5,8,0.8120567375886525,0.1455965909090909,0.16832386363636365
176,1.0,poly,7,2,0.8297872340425532,0.1356534090909091,0.19673295454545456
177,1.0,poly,7,4,0.7978723404255319,0.12286931818181818,0.18607954545454544
178,1.0,poly,7,6,0.8226950354609929,0.10440340909090909,0.21306818181818182
179,1.0,poly,7,8,0.8333333333333334,0.1512784090909091,0.17258522727272727
180,1.0,poly,9,2,0.8333333333333334,0.11434659090909091,0.2393465909090909
181,1.0,poly,9,4,0.8333333333333334,0.13210227272727273,0.23011363636363635
182,1.0,poly,9,6,0.8262411347517731,0.13636363636363635,0.21235795454545456
183,1.0,poly,9,8,0.8404255319148937,0.09659090909090909,0.2890625
184,1.0,poly,11,2,0.875886524822695,0.11221590909090909,0.24431818181818182
185,1.0,poly,11,4,0.8191489361702128,0.15625,0.171875
186,1.0,poly,11,6,0.8333333333333334,0.13920454545454544,0.1903409090909091
187,1.0,poly,11,8,0.8546099290780141,0.10724431818181818,0.22798295454545456
188,1.0,poly,13,2,0.8936170212765957,0.10369318181818182,0.26136363636363635
189,1.0,poly,13,4,0.8865248226950354,0.12144886363636363,0.22798295454545456
190,1.0,poly,13,6,0.8687943262411347,0.09801136363636363,0.2784090909090909
191,1.0,poly,13,8,0.851063829787234,0.13352272727272727,0.24076704545454544
192,2.0,linear,3,2,0.7978723404255319,0.15482954545454544,0.2571022727272727
193,2.0,linear,3,4,0.8191489361702128,0.1512784090909091,0.27769886363636365
194,2.0,linear,3,6,0.8120567375886525,0.14417613636363635,0.2940340909090909
195,2.0,linear,3,8,0.8120567375886525,0.1612215909090909,0.2649147727272727
196,2.0,linear,5,2,0.8191489361702128,0.14985795454545456,0.3068181818181818
197,2.0,linear,5,4,0.8049645390070922,0.15482954545454544,0.25142045454545453
198,2.0,linear,5,6,0.8156028368794326,0.1512784090909091,0.24289772727272727
199,2.0,linear,5,8,0.7588652482269503,0.14275568181818182,0.31605113636363635
200,2.0,linear,7,2,0.8297872340425532,0.16193181818181818,0.2556818181818182
201,2.0,linear,7,4,0.7836879432624113,0.13707386363636365,0.3053977272727273
202,2.0,linear,7,6,0.7872340425531915,0.140625,0.2840909090909091
203,2.0,linear,7,8,0.7836879432624113,0.12855113636363635,0.3572443181818182
204,2.0,linear,9,2,0.851063829787234,0.11434659090909091,0.3288352272727273
205,2.0,linear,9,4,0.8226950354609929,0.1455965909090909,0.3096590909090909
206,2.0,linear,9,6,0.7943262411347518,0.12713068181818182,0.3522727272727273
207,2.0,linear,9,8,0.7978723404255319,0.13494318181818182,0.3132102272727273
208,2.0,linear,11,2,0.8333333333333334,0.10440340909090909,0.3700284090909091
209,2.0,linear,11,4,0.8014184397163121,0.12286931818181818,0.32954545454545453
210,2.0,linear,11,6,0.7907801418439716,0.13494318181818182,0.3380681818181818
211,2.0,linear,11,8,0.776595744680851,0.1328125,0.37144886363636365
212,2.0,linear,13,2,0.8156028368794326,0.109375,0.31889204545454547
213,2.0,linear,13,4,0.8014184397163121,0.12144886363636363,0.3352272727272727
214,2.0,linear,13,6,0.7730496453900709,0.10795454545454546,0.40767045454545453
215,2.0,linear,13,8,0.7624113475177305,0.11647727272727272,0.37073863636363635
